Program Time [s],data 0
1088.48,1564
1088.48,1815
1088.48,1945
1088.48,1973
1088.48,1941
1088.48,1914
1088.54,1885
1088.54,1963
1088.54,2173
1088.54,2486
1088.54,2741
1088.54,2791
1088.54,2599
1088.54,2359
1088.54,2309
1088.54,2248
1088.54,1975
1088.61,1543
1088.61,1262
1088.61,1343
1088.61,1631
1088.61,1971
1088.61,2187
1088.61,2216
1088.61,2159
1088.61,2085
1088.61,2065
1088.68,2053
1088.68,1934
1088.68,1865
1088.68,1864
1088.68,1991
1088.68,2142
1088.68,2141
1088.68,1967
1088.68,1773
1088.68,1684
1088.68,1675
1088.74,1751
1088.74,1909
1088.74,2009
1088.74,1965
1088.74,1799
1088.74,1624
1088.74,1673
1088.74,1814
1088.74,1958
1088.74,1947
1088.74,1883
1088.81,1803
1088.81,1685
1088.81,1597
1088.81,1572
1088.81,1605
1088.81,1644
1088.81,1657
1088.81,1673
1088.81,1705
1088.81,1845
1088.89,2055
1088.89,2123
1088.89,2084
1088.89,1966
1088.89,1799
1088.89,1669
1088.89,1641
1088.89,1734
1088.89,1852
1088.89,1915
1088.95,1919
1088.95,1899
1088.95,1854
1088.95,1838
1088.95,1855
1088.95,1908
1088.95,1912
1088.95,1868
1088.95,1813
1088.95,1757
1088.95,1753
1089.02,1848
1089.02,2007
1089.02,2165
1089.02,2207
1089.02,2045
1089.02,1758
1089.02,1518
1089.02,1465
1089.02,1577
1089.02,1724
1089.02,1781
1089.09,1765
1089.09,1701
1089.09,1677
1089.09,1703
1089.09,1722
1089.09,1757
1089.09,1787
1089.09,1791
1089.09,1815
1089.09,1885
1089.15,2283
1089.15,1627
1089.15,1149
1089.15,926
1089.15,885
1089.15,1015
1089.15,1211
1089.15,1380
1089.15,1451
1089.15,1459
1089.15,1494
1089.22,1545
1089.22,1621
1089.22,1711
1089.22,1812
1089.22,1899
1089.22,1963
1089.22,1980
1089.22,1959
1089.22,1917
1089.22,1864
1089.22,1893
1089.29,1965
1089.29,2025
1089.29,2036
1089.29,1973
1089.29,1909
1089.29,1854
1089.29,1827
1089.29,1799
1089.29,1805
1089.29,1879
1089.29,2175
1089.36,1943
1089.36,1907
1089.36,1871
1089.36,1845
1089.36,1855
1089.36,1919
1089.36,1973
1089.36,1941
1089.36,1851
1089.36,1773
1089.43,1717
1089.43,1706
1089.43,1718
1089.43,1727
1089.43,1753
1089.43,1771
1089.43,1812
1089.43,1863
1089.43,1847
1089.43,1819
1089.43,1797
1089.5,1829
1089.5,1885
1089.5,1929
1089.5,1883
1089.5,1791
1089.5,1737
1089.5,1725
1089.5,1707
1089.5,1676
1089.5,1661
1089.5,1679
1089.56,1720
1089.56,1741
1089.56,1735
1089.56,1756
1089.56,1800
1089.56,1821
1089.56,1816
1089.56,1789
1089.56,1751
1089.56,1737
1089.63,1719
1089.63,1803
1089.63,1883
1089.63,1881
1089.63,1831
1089.63,1815
1089.63,1819
1089.63,1821
1089.63,1828
1089.63,1835
1089.63,1848
1089.7,1868
1089.7,1843
1089.7,1813
1089.7,1871
1089.7,1929
1089.7,1980
1089.7,2027
1089.7,2002
1089.7,1939
1089.7,1869
1089.7,1852
1089.76,1876
1089.76,1903
1089.76,1893
1089.76,1862
1089.76,1820
1089.76,1805
1089.76,1781
1089.76,1763
1089.76,1757
1089.76,955
1089.84,1557
1089.84,1641
1089.84,1757
1089.84,1815
1089.84,1786
1089.84,1706
1089.84,1683
1089.84,1708
